 Serial No: 7413FU0234-1     Operator:  vssv    vsvsv
5/19/2017 13:18,2RSmart_ECU_06_01_00,1A,5.046V,OK
 Serial No: 7413FU0234-1     Operator:  vssv    vsvsv
5/19/2017 13:18,2RSmart_ECU_06_01_00,2A,5.056V,OK
